"","person","role","group","eyesight","continents","countries","pballs","reaction","hearing"
"1","P1","student","G1",-2.5,2,9,2,0.666666667,0.880549524280267
"2","P2","student","G1",-2,1,6,3,0.558333333,0.902309694241384
"3","P3","person","G1",14,1,8,2,0.725,0.966424843405367
"4","P4","student","G1",-4.5,5,15,5,0.475,0.958257558125774
"5","P5","staff","G1",0,3,17,2,0.391666667,0.787699521728434
"6","P6","staff","G1",4,2,7,4,0.358333333,0.794335910132271
"7","P7","student","G2",-1.5,3,14,2,0.525,0.828750246936622
"8","P8","student","G2",1.25,1,9,2,0.583333333,0.934427011442256
"9","P9","student","G2",0,2,14,3,0.275,0.897787943276952
"10","P10","person","G2",0.75,3,16,2,0.391666667,0.668311237698326
"11","P11","staff","G3",8.5,2,3,3,0.5,0.608836400759569
"12","P12","student","G3",1.5,3,12,2,0.608333333,0.839925192108751
"13","P13","student","G3",-7.5,6,28,7,0.816666667,0.890848568542357
"14","P14","student","G3",0,3,12,6,0.475,0.767317515957089
"15","P15","staff","G3",6.5,3,4,4,0.358333333,0.838348300897469
"16","P16","student","G4",1,1,7,0,0.475,0.895884500844881
"17","P17","person","G4",-3.5,3,10,2,0.525,0.904437349171977
"18","P18","student","G4",0,7,17,4,0.5,0.681875328812999
"19","P19","staff","G4",-2,1,1,1,0.775,0.676805280963475
"20","P20","person","G4",0,1,1,0,0.475,0.990649428488291
"21","P21","student","G5",0,2,14,NA,0.358333333,0.462370159140779
"22","P22","student","G5",1.75,1,18,NA,0.583333333,0.860083042887055
"23","P23","child","G5",NA,2,5,NA,0.5,0.869666562282031
"24","P24","child","G5",NA,1,5,NA,0.75,0.922327511635652
"25","P25","child","G5",NA,4,14,NA,0.225,0.920503780554457
"26","P26","baby","G5",NA,1,1,NA,NA,0.746205664207195
"27","P27","person","G6",0,1,9,5,0.358333333,0.912217288802176
"28","P28","student","G6",-1.5,4,11,8,0.641666667,0.766007401899163
"29","P29","student","G6",0,2,2,1,0.5,0.879206327841147
"30","P30","student","G6",0,2,8,1,NA,0.9356066962645
"31","P31","student","G6",-2.5,2,17,0,NA,0.735364264629314
