person,role,group,eyesight,continents,countries,reaction,hearing
P1,student,G1,-2.5,2,9,0.666666667,15320.14804
P2,student,G1,-2,1,6,0.558333333,17816.97137
P3,person,G1,14,1,8,0.725,14707.28529
P4,student,G1,-4.5,5,15,0.475,15886.7182
P5,staff,G1,0,3,17,0.391666667,15753.99043
P6,staff,G1,4,2,7,0.358333333,16575.00494
P7,student,G2,-1.5,3,14,0.525,17917.69002
P8,student,G2,1.25,1,9,0.583333333,17955.75887
P9,student,G2,0,2,14,0.275,18446.55023
P10,person,G2,0.75,3,16,0.391666667,18410.07561
P11,staff,G3,8.5,2,3,0.5,12176.72802
P12,student,G3,1.5,3,12,0.608333333,13536.10562
P13,student,G3,-7.5,6,28,0.816666667,16766.96602
P14,student,G3,0,3,12,0.475,17610.99049
P15,staff,G3,6.5,3,4,0.358333333,14924.11328
P16,student,G4,1,1,7,0.475,16798.50384
P17,person,G4,-3.5,3,10,0.525,13637.50658
P18,student,G4,0,7,17,0.5,17584.12656
P19,staff,G4,-2,1,1,0.775,9247.403183
P20,person,G4,0,1,1,0.475,13366.22475
P21,student,G5,0,2,14,0.358333333,17201.66086
P22,student,G5,1.75,1,18,0.583333333,17393.33125
P23,child,G5,NA,2,5,0.5,19328.49687
P24,child,G5,NA,1,5,0.75,18712.13393
P25,child,G5,NA,4,14,0.225,19812.98857
P26,baby,G5,NA,1,1,NA,NA
P27,person,G6,0,1,9,0.358333333,19165.15116
P28,student,G6,-1.5,4,11,0.641666667,18046.19388
P29,student,G6,0,2,2,0.5,18088.74698
P30,student,G6,0,2,8,NA,15346.35032
P31,student,G6,-2.5,2,17,NA,18244.34578
