Year,Mother,Habitat,LitterSize,LitterSizeCategory,TotalScore,StructureScore,ResourceScore,QualityScore,DisturbanceScore
2,M1,Urban,4,small,18,5,5,6,2
2,M2,Urban,2,small,17,4,5,6,2
2,M3,Urban,7,large,18,7,6,2,3
2,M4,Urban,5,large,10,3,4,2,1
2,M5,Urban,3,small,20,5,6,6,3
2,M6,Urban,1,small,17,4,5,6,2
2,M7,Urban,6,large,20,7,5,6,2
3,M8,Urban,4,small,18,7,5,3,3
2,M9,Urban,3,small,20,5,6,6,3
2,M10,Urban,7,large,18,7,3,5,3
2,M11,Urban,2,small,18,7,6,2,3
2,M12,Urban,3,small,19,6,4,6,3
2,M13,Urban,4,small,18,6,4,6,2
2,M14,Urban,5,large,18,7,5,4,2
3,M15,Urban,5,large,19,6,5,6,2
3,M16,Urban,6,large,20,7,5,5,3
3,M17,Urban,2,small,18,7,2,6,3
3,M18,Urban,3,small,16,6,4,4,2
3,M19,Urban,2,small,18,5,4,6,3
3,M20,Urban,4,small,18,5,5,5,3
3,M21,Urban,5,large,17,7,5,4,1
5,M22,Urban,13,large,14,7,2,2,3
5,M23,Urban,3,small,13,5,4,2,2
5,M24,Urban,4,small,14,5,4,4,1
5,M25,Urban,4,small,15,3,4,5,3
5,M26,Urban,6,large,12,3,2,4,3
5,M27,Urban,5,large,14,4,2,6,2
5,M28,Urban,3,small,16,6,2,6,2
5,M29,Urban,3,small,17,7,6,2,2
5,M30,Urban,2,small,18,7,6,2,3
5,M31,Urban,4,small,19,8,3,5,3
5,M32,Urban,5,large,13,4,2,4,3
5,M33,Urban,3,small,14,3,2,6,3
5,M34,Rural,2,small,16,5,6,4,1
5,M35,Urban,6,large,9,3,2,3,1
5,M36,Urban,5,large,16,6,4,4,2
1,M37,Semi,5,large,17,7,5,4,1
1,M38,Semi,2,small,16,7,2,4,3
1,M39,Semi,1,small,17,5,3,6,3
2,M40,Semi,3,small,18,6,4,6,2
2,M41,Semi,3,small,19,8,4,6,1
2,M42,Semi,5,large,15,4,4,6,1
2,M43,Semi,3,small,16,6,2,5,3
2,M44,Semi,6,large,20,8,6,5,1
2,M45,Semi,5,large,19,6,4,6,3
2,M46,Semi,4,small,15,6,4,2,3
2,M47,Semi,3,small,14,6,4,2,2
2,M48,Semi,5,large,14,4,2,5,3
2,M49,Semi,2,small,17,3,5,6,3
2,M50,Semi,4,small,15,3,6,5,1
2,M51,Semi,1,small,15,4,3,5,3
2,M52,Semi,2,small,17,7,2,5,3
2,M53,Semi,4,small,19,6,4,6,3
3,M54,Semi,2,small,17,6,4,6,1
3,M55,Semi,6,large,20,8,4,6,2
3,M56,Semi,3,small,15,6,2,6,1
3,M57,Semi,5,large,20,8,6,5,1
3,M58,Semi,3,small,17,6,2,6,3
3,M59,Semi,6,large,19,6,4,6,3
3,M60,Semi,3,small,17,7,6,3,1
3,M61,Semi,4,small,18,6,4,5,3
3,M62,Semi,2,small,19,6,4,6,3
3,M63,Semi,6,large,16,6,2,5,3
3,M64,Semi,6,large,16,6,2,5,3
3,M65,Semi,4,small,16,5,2,6,3
3,M66,Semi,4,small,16,9,2,2,3
4,M67,Semi,2,small,19,8,4,6,1
4,M68,Semi,4,small,20,8,6,5,1
4,M69,Semi,2,small,19,6,4,6,3
5,M70,Semi,5,large,17,6,2,6,3
4,M71,Semi,6,large,15,4,4,6,1
4,M72,Semi,5,large,16,5,2,6,3
4,M73,Semi,6,large,13,3,5,2,3
4,M74,Semi,3,small,12,3,4,2,3
4,M75,Urban,5,large,18,6,3,6,3
4,M76,Urban,6,large,17,7,4,5,1
4,M77,Urban,2,small,20,7,4,6,3
4,M78,Urban,3,small,13,3,3,4,3
4,M79,Urban,2,small,15,5,3,6,1
4,M80,Urban,4,small,17,6,3,5,3
5,M81,Urban,5,large,19,7,6,4,2
5,M82,Urban,3,small,16,3,6,4,3
5,M83,Urban,3,small,19,8,6,3,2
5,M84,Urban,11,large,20,7,6,4,3
5,M85,Urban,3,small,18,6,4,5,3
5,M86,Urban,2,small,16,4,6,5,1
5,M87,Urban,4,small,15,4,4,6,1
5,M88,Urban,6,large,13,6,3,2,2
5,M89,Urban,4,small,15,7,3,3,2
5,M90,Rural,6,large,13,3,4,3,3
5,M91,Rural,6,large,17,7,3,4,3
5,M92,Urban,2,small,9,3,3,2,1
5,M93,Urban,3,small,19,8,4,4,3
5,M94,Urban,6,large,16,7,2,4,3
5,M95,Urban,3,small,13,4,2,4,3
5,M96,Urban,8,large,18,7,4,4,3
5,M97,Urban,3,small,19,8,4,5,2
5,M98,Semi,4,small,12,3,4,3,2
5,M99,Urban,5,large,11,3,4,2,2
5,M100,Semi,4,small,13,3,6,2,2
5,M101,Rural,5,large,18,7,4,4,3
5,M102,Urban,14,large,17,6,4,4,3
5,M103,Urban,4,small,12,3,4,3,2
5,M104,Urban,1,small,13,5,4,3,1
5,M105,Urban,4,small,12,3,4,2,3
5,M106,Urban,4,small,10,3,4,2,1
5,M107,Urban,8,large,18,8,4,3,3
5,M108,Urban,5,large,10,3,4,2,1
5,M109,Urban,3,small,20,8,6,5,1
5,M110,Urban,9,large,11,3,4,3,1
5,M111,Urban,3,small,12,3,4,2,3
5,M112,Urban,4,small,13,6,4,2,1
5,M113,Urban,2,small,14,4,4,3,3
5,M114,Urban,2,small,10,3,4,2,1
5,M115,Semi,2,small,18,7,6,4,1
5,M116,Urban,5,large,11,3,4,2,2
5,M117,Urban,3,small,11,3,4,2,2
5,M118,Urban,2,small,11,3,4,2,2
5,M119,Urban,3,small,18,8,4,5,1
5,M120,Urban,6,large,16,7,4,4,1
5,M121,Urban,3,small,11,3,4,2,2
5,M122,Urban,4,small,15,6,4,2,3
5,M123,Urban,2,small,16,6,4,5,1
5,M124,Urban,3,small,10,3,4,2,1
5,M125,Urban,2,small,17,6,6,2,3
5,M126,Urban,4,small,11,3,4,2,2
5,M127,Urban,5,large,12,5,2,2,3
5,M128,Urban,2,small,17,6,2,6,3
5,M129,Urban,6,large,17,6,2,6,3
5,M130,Urban,3,small,15,6,2,6,1
5,M131,Urban,5,large,14,7,4,2,1
5,M132,Urban,3,small,14,3,6,2,3
5,M133,Semi,3,small,11,3,4,2,2
5,M134,Semi,3,small,16,6,4,5,1
5,M135,Semi,3,small,11,3,4,2,2
5,M136,Semi,4,small,17,8,4,2,3
5,M137,Semi,5,large,18,7,4,6,1
5,M138,Semi,3,small,12,3,4,3,2
5,M139,Semi,2,small,10,3,4,2,1
5,M140,Semi,5,large,15,3,4,5,3
5,M141,Urban,4,small,12,3,4,2,3
5,M142,Rural,3,small,12,3,4,2,3
5,M143,Rural,3,small,10,3,4,2,1
5,M144,Semi,6,large,12,3,4,2,3
5,M145,Semi,4,small,11,5,2,2,2
5,M146,Urban,3,small,17,5,5,4,3
5,M147,Urban,3,small,15,6,4,4,1
5,M148,Semi,5,large,14,3,2,6,3
